축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
동성로축제,동성로,2021-10-01,2021-10-03,"동성로 가요제, 댄스, 먹방대회, 패션쇼 등",동성로상점가상인회,사단법인달성문화선양회,,053-423-3337,http://www.jung.daegu.kr/,,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2021-04-21,6270000,대구광역시
대구패션주얼리위크,교동,2021-05-01,2021-05-31,"주얼리패션쇼, 주얼리 경매, 주얼리 모델대회 등",대구패션주얼리특구상인회,대구패션주얼리특구상인회,,053-424-9150,http://www.jung.daegu.kr/,개최일자 미정,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2021-04-21,6270000,대구광역시
대구스트리트모터페스티벌,남산동 자동차골목,2021-05-01,2021-05-31,"차량 전시, 축하공연, 부대행사 등",남산동DSMF조직위원회,남산동자동차골목상점가상인회,,053-661-3014,http://www.jung.daegu.kr/,개최일자 미정,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2021-04-21,6270000,대구광역시
대구문화재야행,대구근대골목,2021-08-20,2021-08-21,"근대 관련 문화공연, 전시, 체험, 청사초롱 야경투어 및 테마투어 등",대구광역시 중구 관광진흥과,대구광역시 중구 관광진흥과,,053-661-2195,http://www.jung.daegu.kr/,,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2021-04-21,6270000,대구광역시
김광석 나의노래 다시부르기,"김광석길, 신천둔치",2021-09-01,2021-09-30,"김광석 노래경연, 김광석 추모사진 전시 등",주식회사 대구문화방송,대구광역시 중구 문화교육과,,053-661-2174,http://www.jung.daegu.kr/,개최일자 미정,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2021-04-21,6270000,대구광역시
김광석길 페스티벌,김광석길,2021-10-01,2021-10-31,"김광석길 문화예술 공연, 버스킹, 전시 등",방천문화예술협회,방천문화예술협회,,053-661-2174,http://www.jung.daegu.kr/,개최일자 미정,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2021-04-21,6270000,대구광역시
강감찬축제,온라인 개최,2020-11-06,2020-11-08,"강감찬 장군 출병식 및 전승행렬 거리 퍼레이드, 고려마을 테마 체험부스, 강감찬 장군 추모제향 등 다채로운 행사 진행",관악구,관악구,,02-879-5603,http://www.gwanak.go.kr/html/gang/sub/sub.html,,"서울특별시 관악구 관악로 145, 교육사업과(관악구청)",서울특별시 관악구 봉천동 1570-1,37.47823402,126.9515012,2021-06-03,3200000,서울특별시 관악구
황룡강 노란꽃잔치,황룡강변 일원,2019-10-01,2019-10-13,"공연,체험,판매행사 등",장성군축제위원회,장성군,전라남도,061-390-7381,https://www.jangseong.go.kr/home/tour_new/festival/festival_04/festival_04_04,"황룡강,옐로우시티",,전라남도 장성군 장성읍 기산리 461-1,35.306981,126.777431,2021-06-02,4980000,전라남도 장성군
달맞이축제,울릉예술문화체험장(구.장흥초등학교),2020-02-08,2020-02-08,달집태우기,정월대보름 장흥달맞이 놀이마당추진위원회,정월대보름 장흥달맞이 놀이마당추진위원회,,,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1994&,우리 전통문화를 선양하고 사라져가는 세시풍습을 재현하여 민속축제로 승화,경상북도 울릉군 울릉읍 옥천길 8,,37.47367561,130.8875026,2020-12-31,5260000,경상북도 울릉군
태하성하신당제,서면 태하 성하신당,2020-03-24,2020-03-24,기원행사,울릉문화원,울릉문화원,,,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1990&,"행토발전의 결의를 새롭게 다지고 지역경제 활성화를 기원하고 풍어, 풍년을 기원하는 제전",경상북도 울릉군 서면 태하길 154,,37.51222566,130.800884,2020-12-31,5260000,경상북도 울릉군
농악대축제,시민운동장,2016-10-22,2016-10-23,농악행사,농악보존회,광명시,광명시의회,02-899-1664,,구름산예술제(시민회관),경기도 광명시 오리로703 광명시민운동장,경기도 광명시 하안1동 577,37.4620073,126.8714551,2020-12-18,3900000,경기도 광명시
농악대축제,시민운동장,2015-10-17,2015-10-18,농악행사,농악보존회,광명시,광명시의회,02-899-1664,,구름산예술제(시민회관),경기도 광명시 오리로703 광명시민운동장,경기도 광명시 하안1동 577,37.4620073,126.8714551,2020-12-18,3900000,경기도 광명시
구름산예술제,시민회관,2015-10-17,2015-10-18,예술전시및행사,예총,광명시,광명시의회,02-2680-6871,,농악대축제(시민운동장),경기도 광명시 시청로20 광명시민회관,경기도 광명시 철산동222-1 광명시민회관,37.4776304,126.8646268,2020-12-18,3900000,경기도 광명시
제14회 광명시평생학습축제,광명시 전역,2015-09-07,2015-09-20,학술 컨퍼런스 외,광명시평생학습네트워크협의체,광명시,없음,02-2680-6200,http://lll.gm.go.kr/site/festival,광명8경,"경기도 광명시 오리로 854번길 10(철산동, 광명시평생학습원)",경기도 광명시 철산동 419,37.4743772,126.8684796,2020-12-18,3900000,경기도 광명시
제2회 밤일음식문화 거리 축제,밤일음식문화거리 내,2016-06-10,2016-06-10,"음식점할인행사, 무료시식, 노래자랑, 초대공연 등",밤일음식문화거리 상가번영회,광명시,광명시의회,02-2680-5484,,경기도 지정 밤일음식문화특화거리,경기도 광명시 밤일안로 일대,경기도 광명시 밤일안로 일대,37.453842,126.860748,2020-12-18,3900000,경기도 광명시
구름산예술제,시민회관,2016-10-22,2016-10-23,예술전시및행사,예총,광명시,광명시의회,02-2680-6871,,농악대축제(시민운동장),경기도 광명시 시청로20 광명시민회관,경기도 광명시 철산동222-1 광명시민회관,37.4776304,126.8646269,2020-12-18,3900000,경기도 광명시
제16회 광명시평생학습축제,광명시 전역,2017-09-09,2017-09-23,학술 컨퍼런스 외,광명시평생학습네트워크협의체,광명시,없음,02-2680-6200,http://lll.gm.go.kr/site/festival,광명8경,경기도 광명시 오리로854번길 10,경기도 광명시 철산3동419,37.474331,126.868457,2020-12-18,3900000,경기도 광명시
제26회 오리문화제,광명시민체육관,2017-05-18,2017-05-20,"오리이원익 영우참배/헌화식, 전시,체험마당, 먹거리장터, 학술행사 등",광명문화원,광명시,광명시의회,02-2680-6223,www.gmcc.or.kr/,,경기도 광명시 밤일안로,경기도 광명시 철망산로 42,37.463301,126.870701,2020-12-18,3900000,경기도 광명시
구름산예술제,시민회관,2017-09-23,2017-09-24,예술전시및행사,예총,광명시,광명시의회,02-2680-6871,,농악대축제(시민운동장),경기도 광명시 시청로 20,경기도 광명시 철산2동222-1 광명시민회관,37.4790975,126.8648458,2020-12-18,3900000,경기도 광명시
농악대축제,시민운동장,2017-10-20,2017-10-22,농악행사,농악보존회,광명시,광명시의회,02-899-1664,,구름산예술제(시민회관),경기도 광명시 오리로 703,경기도 광명시 하안1동577,37.46251877,126.8711648,2020-12-18,3900000,경기도 광명시
"소하도서관 책축제 팔짱, 책을 품다",소하도서관 광장 및 한내천 일대,2016-04-15,2016-04-15,"프리마켓, 책축제, 전시, 공연, 체험",소하도서관 청소년수련관,광명시,없음,02-2680-0926,http://www.gmlib.or.kr/soha,팔짱(청소년수련관),경기도 광명시 소하일로7,경기도 광명시 소하동 1331,37.44545992,126.8879915,2020-12-18,3900000,경기도 광명시
농악대축제,시민운동장,2018-10-27,2018-10-28,농악행사,농악보존회,광명시,광명시의회,02-899-1664,,,경기도 광명시 시청로 20,경기도 광명시 철산3동222-1,37.4790975,126.8648458,2020-12-18,3900000,경기도 광명시
구름산예술제,시민체육관,2018-08-31,2018-09-02,예술 전시 및 부대행사,한국예총광명지회,광명시,광명시의회,02-2680-6871,,,경기도 광명시 오리로 703,경기도 광명시 하안1동577,37.46251877,126.8711648,2020-12-18,3900000,경기도 광명시
제7회 목감천 친환경 축제,우리공원,2019-05-25,2019-05-25,주민자치프로그램 공연 및 목감천 가요제 등,광명6동주민자치위원회 및 유관단체,목감천친환경축제위원회,없음,02-2680-6672,,,경기도 광명시 광명로791번길6,,37.4710361,126.8486332,2020-12-18,3900000,경기도 광명시
평생학습도시 선언 20주년 컨퍼런스,광명시평생학습원,2019-11-01,2019-11-01,평생학습도시 선언 20주년 컨퍼런스 및 전시,평생학습원,광명시,광명시의회,02-2680-2549,,,"경기도 광명시 오리로 854번길 10(철산동, 광명시평생학습원)","경기도 광명시 오리로 854번길 10(철산동, 광명시평생학습원)",37.4743772,126.8684796,2020-12-18,3900000,경기도 광명시
제20회광안리어방축제,광안리해변 일원,2021-04-23,2021-04-25,"뮤지컬어방, 경상좌수사행렬, 어방그물끌기 한마당, 진두어화, 어방민속마을 등 6개분야 40종목",수영구축제위원회,수영구,,051-610-4062,http://www.suyeong.go.kr/eobang/,,부산광역시 수영구 광안해변로 219,,35.15377436,129.1185216,2020-12-30,3380000,부산광역시 수영구
제15회 영양산나물축제,영양군청 일원,2019-05-02,2019-05-05,"판매, 체험, 공연, 부대행사",(재)영양축제관광재단,영양군,,054-680-6411,yftf.kr,축제 프로그램 등,경상북도 영양군 영양읍 군청길 37,경상북도 영양군 영양읍 서부리 379-1,36.6673577350,129.1126843895,2020-12-24,5170000,경상북도 영양군
2020 영양고추 H.O.T Festival,서울광장,2019-08-27,2019-08-29,"판매, 체험, 공연, 부대행사",영양군,영양군,"농림축산식품부, 농촌진흥청, 국립농산물품질관리원, 경상북도, KBS, 한국농수산식품유통공사,한국농어촌공사,한국식품연구원,(사)대한민국김치협회,영양고추유통공사,NH농협은행 영양군지부, 영양농협,남영양농협",054-680-6571,영양군청홈페이지 주소,"고추판매 축제,일정 등",서울특별시 중구 세종대로 110,서울특별시 중구 태평로1가 31,37.56631769,126.9778284,2020-12-24,5170000,경상북도 영양군
김수환추기경 사랑과 나눔 문화축전,삼국유사교육문화회관,2020-11-21,2020-11-21,김수환추기경 뮤지컬공연,매일신문사,매일신문사,"경상북도, 군위군",054-380-6065,,김수환추기경 사랑과 나눔공원,경상북도 군위군 군위읍 군청로 200,경상북도 군위군 군위읍 동부리 229,36.243051,128.573056,2020-12-22,5140000,경상북도 군위군
석촌호수벚꽃축제,석촌호수 일대,2021-04-02,2021-04-11,개막식 벚꽃음악회 벚꽃버스킹 벚꽃조명길 포토존 벚꽃 온라인 체험 등,서울특별시 송파구,서울특별시 송파구,,02-2147-2800,https://www.songpa.go.kr/culture/detailInfo.do?key=3794&resrceCd=CT0155-1000031&,,서울특별시 송파구 석촌호수로 197,서울특별시 송파구 잠실동 47,37.5066934,127.0989034,2021-02-17,3230000,서울특별시 송파구
한성백제문화제,올림픽공원 일대,2021-09-29,2021-10-03,역사문화거리행렬 한성백제체험마을 한성백제갈라퍼레이드 개폐막식 등 축하공연 한성백제 성곽돌기 각종 체험행사 등,한성백제문화제추진위원회,서울특별시 송파구,,02-2147-2800,https://www.songpa.go.kr/hanseong/index.do?,,서울특별시 송파구 올림픽로 424,서울특별시 송파구 방이동 88,37.52034114,127.1155184,2021-02-17,3230000,서울특별시 송파구
(미정)2021 양주 천만송이 천일홍 축제,나리농원 일원,2021-12-31,2021-12-31,지역축제,양주시축제추진위원회,양주시,,031-8082-5655,https://www.yangju.go.kr/festival/index.do,,경기도 양주시 광사로 131-66,경기도 양주시 광사동 731,37.785795,127.081833,2021-05-10,5590000,경기도 양주시
전라병영성 축제,전라병영성 일원,2020-04-29,2020-05-03,방문 관광객과 군민이 함께 즐기며 대한민국 호국정신 성지로 이어가는 역사교육 도시로의 재탄생 도약 축제,강진군향토축제추진위원회,강진군,전라남도,061-430-3354,http://www.gangjin.go.kr/culture/,,전라남도 강진군 병영면 병영성로 175,전라남도 강진군 병영면 성동리 320-8,34.72004452,126.8171446,2021-05-07,4920000,전라남도 강진군
강진청자축제,청자촌 일원,2020-10-08,2020-10-13,가을축제에 따른 다이내믹하고 흥이 넘치는 청자촌 분위기 조성과 향우와 구민이 함께 어우러지는 문화체육관광부 선정 우수축제,강진군향토축제추진위원회,강진군,"문화체육관광부, 전라남도, 한국관광공사, 하이트진로㈜, ㈜일화, 농협중앙회, 광주은행",061-430-3352,http://www.gangjin.go.kr/culture/,,전라남도 강진군 대구면 청자촌길 33,전라남도 강진군 대구면 사당리 127,34.50866041,126.8008375,2021-05-07,4920000,전라남도 강진군
강진만 춤추는 갈대축제,강진만 생태공원 일원,2020-10-23,2020-11-01,가을의 정취와 추억을 체험하는 남도답사 1번지 이미지 창출과 갈대·음악·자연을 대표하는 명품 축제,강진군 향토축제추진위원회,강진군,,061-430-3354,http://www.gangjin.go.kr/culture/,,전라남도 강진군 강진읍 남당로 97-23,전라남도 강진군 강진읍 목리 128-1,34.6259705,126.7724317,2021-05-07,4920000,전라남도 강진군
송년불꽃축제,장승포항 일원,2099-01-01,2099-01-01,송년불꽃축제는 한 해를 마무리하는 시점에서 관광객에게 볼거리를 제공하기 위한 연말연시 축제의 한마당. 축하공연과 더불어 화려하게 하늘을 수놓은 불꽃연출은 한 해를 보내는 아쉬움과 새해를 맞이하는 희망과 설레임으로 잊지못할 추억을 선사.,경상남도 거제시,경상남도 거제시,,055-639-3394,,,경상남도 거제시 장승로 138,,34.8663093,128.7246401,2021-05-10,5370000,경상남도 거제시
신년해맞이행사,장승포 몽돌개,2099-01-01,2099-01-01,한 해의 무사안녕을 기원하고 새해 아침 첫 해돋이를 맞이하기 위한 축제,경상남도 거제시 장승포동,경상남도 거제시 장승포동,,055-639-6751,,,,경상남도 거제시 장승포동 산4,,,2021-05-10,5370000,경상남도 거제시
부산시민의종 타종식,용두산공원,2021-12-31,2022-01-01,"시민의종 타종, 문화공연",(사)부산문화관광축제조직위원회,부산광역시,BNK,051-888-5221,http://www.bfo.or.kr/main/index.asp,용두산공원,부산광역시 중구 용두산길 37-55(광복동2가),,35.10095054,129.0324307,2021-06-29,6260000,부산광역시
조선통신사 축제,"시민공원,항만공사",2021-09-10,2021-09-12,"조선통신사 행렬재현, 마상재, 新조선통신사 프로그램 등",부산문화재단,부산광역시,,051-888-5091,http://tongsinsa.com/html,용두산공원,부산광역시 중구 용두산길 37-55(광복동2가),,35.10091001,129.0324297,2021-06-29,6260000,부산광역시
천만송이 국화축제,중앙체육공원,2021-10-29,2021-11-07,국화축제,익산시 농업기술센터,익산시,익산시,063-859-4977,https://www.iksan.go.kr/gukhwa/index.iksan,"국화전시,국화우수작품전시,농산물판매장,체험장",전라북도 익산시 하나로 322,,35.94972951,126.9861274,2021-06-15,4680000,전라북도 익산시
제20회 사상전통달집놀이,삼락생태공원,2021-02-26,2021-02-26,사상전통달집 놀이,사상문화원,사상구,,051-310-4062,http://www.sasangculture.or.kr/,코로나 19 관련 행사 취소,부산광역시 사상구 낙동대로 1310번길 19(삼락동),,35.17701002,128.9776397,2021-06-25,3390000,부산광역시 사상구
제12회 삼락벚꽃축제,삼락생태공원,2021-03-27,2021-03-28,삼락벚꽃축제,삼락동,사상구,,051-310-3002,,코로나 19 관련 행사 취소,부산광역시 사상구 낙동대로 1310번길 19(삼락동),,35.17701002,128.9776397,2021-06-25,3390000,부산광역시 사상구
제19회 사상강변축제,삼락생태공원,2021-09-11,2021-09-12,사상강변축제,사상문화원,사상구,,051-310-4062,http://www.sasangculture.or.kr/,코로나 19 관련 행사 잠정연기,부산광역시 사상구 낙동대로 1310번길 19(삼락동),,35.17701002,128.9776397,2021-06-25,3390000,부산광역시 사상구
사하예술제,을숙도문화회관 일원,2019-10-18,2019-10-24,"전시, 공연, 체험프로그램, 연계 행사 등",사하구,사하구,,051-220-4062,https://www.saha.go.kr/tour/contents.do?mId=0202020000,,부산광역시 사하구 낙동남로1233번길 25,부산광역시 사하구 하단동 1151-14,35.110059,128.9449571,2021-06-25,3340000,부산광역시 사하구
제15회 차성문화제,기장중학교 일원,2019-10-12,2019-10-13,"전통문화체험, 차성가 연극 및 공연, 차성가 콘서트 등",차성문화제추진위원회,차성문화제추진위원회,부산광역시 기장군청,051-709-4062,http://www.gijang.go.kr/tour/index.gijang,,부산광역시 기장군 기장읍 읍내로 120,부산광역시 기장군 기장읍 대라리 40,35.2448828028,129.2183134038,2019-09-23,3400000,부산광역시 기장군
춘천인형극제,춘천인형극장 등,2020-07-04,2020-11-29,"마실극장 개최, 인형극 온라인 공연, 커튼콜 개최(온라인공연 인기작 3팀 무대 공연) 등",(재)춘천인형극제,(재)춘천인형극제,춘천시,033-242-8452,http://cocobau.com/,,강원도 춘천시 영서로 3017,강원도 춘천시 사농동 277-3,37.9210964,127.7201052,2020-12-17,4180000,강원도 춘천시
호반음악제,강원대 백령아트센터,2020-05-23,2020-05-23,베토벤 음악을 통한 남북평화 음악제(세계 피아니스트 손열음의 교향곡 연주),(사)2018 평창평화위원회,(사)2018평창평화위원회,춘천시,033-260-9331,,,강원도 춘천시 강원대학길 1,강원도 춘천시 효자동 192-1,37.8680243076,127.7483874080,2020-12-17,4180000,강원도 춘천시
춘천가족음악축제,춘천 송암스포츠타운 특설무대,2020-10-17,2020-10-18,가수공연 및 라디오 공개방송,KBS춘천방송총국,KBS춘천방송총국,춘천시,033-254-0906,http://program.kbs.co.kr/1tv/local/allthatmusic/pc/,,강원도 춘천시 방송길 109,강원도 춘천시 온의동 581,37.8676065,127.7216035,2020-12-17,4180000,강원도 춘천시
문화거리 문화한마당,"강원대학교 후문 상가거리 일대, 국립춘천박물관 일대",2020-09-23,2020-10-17,"- 강원대학교 후문 대학로거리 일대 및 애막골 일대 페스티벌 운영 (거리공연, 체험놀이, 체험키트 배포 등) - 20년 행사 코로나19로 인한 비대면 공연영상 촬영을 통한 행사홍보 진행",춘천마임축제,춘천시+춘천문화재단,"국립춘천박물관, 강원대학교 상인위원회",033-242-0585,http://www.mimefestival.com/,,강원도 춘천시 춘천로 112 지하1층,강원도 춘천시 효자동 531,37.8730953673,127.7278101755,2020-12-17,4180000,강원도 춘천시
2020 김유정문학축제,김유정문학촌,2020-10-16,2020-10-17,"김유정백일장, 시상식(김유정4대문학상, 김유정소설미술작품공모전,김유정백일장), 김유정 학술 세미나 등",김유정문학촌,김유정문학촌,"춘천시, (재)춘천문화재단",033-261-4650,http://www.kimyoujeong.org,,강원도 춘천시 신동면 김유정로 1430-14,강원도 춘천시 신동면 증리 866-1,37.8183114704,127.7176970718,2020-12-17,4180000,강원도 춘천시
가야문화축제,"수릉원, 대성동 고분군, 가야의거리 일원",2019-04-18,2019-04-21,"공식, 민속, 축제, 체험, 설치, 부대, 연계행사",(사)가야문화축제제전위원회,김해시,없음,055-330-3944,www.gcfkorea.com,"김해국립박물관, 김수로왕릉, 가야의 길, 가야테마파크 등",경상남도 김해시 가야의길 126,경상남도 김해시 대성동 434,35.23606039,128.8730826,2020-12-17,5350000,경상남도 김해시
김해분청도자기축제,진례면 김해분청도자박물관 일원,2021-10-25,2021-11-03,"의식,전시,체험,공연,학술,대회,부대행사",(사)김해도예협회,김해시,없음,055-330-3243,www.festival.buncheong.net,"김해분청도자박물관,클레이아크미술관 등",경상남도 김해시 진례면 진례로 275-35,경상남도 김해시 진례면 송정리 360,35.25149561,128.745857,2020-12-17,5350000,경상남도 김해시
정월대보름 달맞이문화제,달성보 일원,2018-03-02,2018-03-02,"기원제, 달집태우기, 축하공연 등(올해는 조류독감으로 미개최)",달성문화원,대구광역시 달성군,,053-668-2172,http://culture.dalseong.daegu.kr,,,대구광역시 달성군 논공읍 하리 687,35.735483,128.420644,2020-12-16,3480000,대구광역시 달성군
전국민속 소싸움 달성대회,국립대구과학관옆 체육시설부지,2018-04-12,2018-04-16,200여두 출전,달성소싸움협회,달성군,,053-668-2192,,,,대구광역시 달성군 유가읍 상리 971,35.687021,128.458656,2020-12-16,3480000,대구광역시 달성군
춘장대해수욕장 여름문화예술축제,춘장대해수욕장 중앙광장,2020-07-31,2020-08-01,"한여름밤의 트롯이야기, 춘장대 시네마, 춘장대 푸파 페스티벌 등",춘장대해수욕장 운영협의회,서천군,없음,041-950-4019,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 서면 춘장대길 20,충청남도 서천군 서면 도둔리 1319,36.16334922,126.5243355,2020-11-30,4580000,충청남도 서천군
자연산 광어.도미 축제,서면 마량포구 일원,2020-05-16,2020-05-31,"맨손으로 광어잡기 체험, 기념공원에서 보물찾기",서면개발위원회,서면개발위원회,없음,041-950-4016,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 서면 서인로 56,충청남도 서천군 서면 마량리 339-6,36.1293642,126.5036472,2020-11-30,4580000,충청남도 서천군
마량포 해넘이.해돋이 축제,서면 마량포구 일원,2020-12-31,2021-01-01,"새해 떡국나눔행사, 불꽃놀이, 버스킹 공연, 소원등 달기",서면개발위원회,서천군,없음,041-950-4019,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 서면 서인로 56,충청남도 서천군 서면 마량리 339-6,36.1293642,126.5036472,2020-11-30,4580000,충청남도 서천군
홍원항 자연산 전어.꽃게 축제,서면 홍원항 일원,2020-09-19,2020-10-04,"맨손으로 전어 잡기 체험, 추억의 놀이 체험, 숨겨진 보물을 찾아라, 비눗방울 놀이 등",홍원항마을축제추진위원회,홍원항마을축제추진위원회,없음,041-950-4016,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 서면 홍원길 130-3,충청남도 서천군 서면 도둔리 1222-7,36.1588617963,126.4992204,2020-11-30,4580000,충청남도 서천군
한산모시문화제,한산모시관 일원,2020-06-12,2020-06-14,한산모시를 주제로 하는 다양한 프로그램 운영,한산모시문화제추진위원회,서천군,"문화체육관광부, 충청남도, 농협 등",041-950-4256,www.hansanmosi.kr/,"축제 일정, 프로그램",충청남도 서천군 한산면 충절로 1089,충청남도 서천군 한산면 지현리 60-1,36.0799445,126.7987047,2020-11-30,4580000,충청남도 서천군
서천철새여행,조류생태전시관 일원,2020-11-22,2020-11-24,철새 탐조 및 철새 관련 문화행사,서천철새여행추진위원회,서천군,없음,041-950-4256,http://tour.seocheon.go.kr,"축제 일정, 프로그램",충청남도 서천군 마서면 장산로 916,충청남도 서천군 마서면 도삼리 59,36.02280046,126.7426918,2020-11-30,4580000,충청남도 서천군
